Group num: 0, TC(X;Y_j): 284.094
comp529511_c0_seq1, 0.304
comp144482_c0_seq1, 0.304
comp517521_c0_seq1, 0.304
comp164293_c0_seq1, 0.304
comp79352_c0_seq1, 0.304
comp397746_c0_seq1, 0.303
comp377948_c0_seq1, 0.303
comp1799_c26_seq28, 0.303
comp247542_c0_seq1, 0.303
comp429_c49_seq6, 0.303
comp495979_c0_seq1, 0.303
comp330562_c0_seq1, 0.303
comp320343_c0_seq1, 0.303
comp188041_c0_seq2, 0.302
comp499195_c0_seq1, 0.302
comp183903_c0_seq1, 0.302
comp495390_c0_seq1, 0.302
comp514062_c0_seq1, 0.302
comp186519_c0_seq1, 0.302
comp357951_c0_seq1, 0.302
comp294922_c0_seq1, 0.302
comp11808_c0_seq1, 0.302
comp235923_c0_seq2, 0.301
comp134425_c0_seq1, 0.301
comp454118_c0_seq1, 0.301
comp29261_c1_seq3, 0.301
comp417148_c0_seq1, 0.300
comp370543_c0_seq1, 0.300
comp264_c312_seq3, 0.300
comp520356_c0_seq1, 0.300
comp490846_c0_seq1, 0.300
comp169104_c0_seq1, 0.299
comp143728_c0_seq2, 0.299
comp517620_c0_seq1, 0.299
comp414463_c0_seq1, 0.299
comp283214_c0_seq1, 0.299
comp231444_c0_seq1, 0.299
comp476949_c0_seq1, 0.299
comp394524_c0_seq1, 0.299
comp365131_c0_seq2, 0.299
comp530126_c0_seq1, 0.298
comp180355_c0_seq1, 0.298
comp248149_c0_seq1, 0.298
comp428486_c0_seq1, 0.298
comp413164_c0_seq1, 0.298
comp4503_c0_seq1, 0.298
